镜号,开始,结束,时长,字数,台词,句号
1,0.0,2,2.0,1,爸,1
2,2,5.333,3.333,20,爸我又没瘸为什么非要坐轮椅骗人爸爸不是想,"1,2"
3,5.333,6.5,1.167,7,骗人爸爸只是想,2
4,6.5,10.75,4.25,25,知道谁会因为你坐轮椅就嫌弃你谁又会把你当成真正的孩,2
5,10.75,12.5,1.75,10,子疼那他们要是都嫌弃,"2,3"
6,12.5,13.833,1.333,8,我呢那爸爸一个都,3
7,13.833,16.583,2.75,17,不要可你不是说要给我找个妈妈吗爸爸,"3,4"
8,16.583,22.417,5.834,32,要找的不是妈妈这个称号是一个不会在爸爸看不见的时候让你受委屈的人,4
9,22.417,24.167,1.75,10,你怎么把孩子也带来了,5
10,24.167,25,0.833,5,还是坐轮椅,5
11,25,25.75,0.75,5,的他是我儿,"5,6"
12,25.75,27.333,1.583,9,子你早说你有这么大,6
13,27.333,29.417,2.084,12,个拖累啊你条件再好带个坐,6
14,29.417,32.333,2.916,17,轮椅的孩子也太掉价了吧阿姨给你糖别,"6,7"
15,32.333,33.667,1.334,7,碰我我刚做的美,7
16,33.667,34.833,1.166,7,甲你带着这种孩,"7,8"
17,34.833,40.167,5.334,31,子出来相亲不是找老婆是找护工吧以后我朋友问起来我怎么说说我嫁过,"8,9"
18,40.167,42.083,1.916,11,去就给人家当后妈你赶紧,9
19,42.083,43.583,1.5,9,让司机把孩子送走不,9
20,43.583,44.25,0.667,4,用聊了你,"9,10"
21,44.25,45,0.75,4,什么意思,10
22,45,45.75,0.75,4,啊你不是,"10,11"
23,45.75,46.833,1.083,7,嫌她丢人吗那你,"11,12"
24,46.833,49.75,2.917,9,也不配进我的家门吗,12
25,49.75,51.25,1.5,4,孩子我可,13
26,51.25,54.5,3.25,20,以接受但婚前必须说清楚他以后不能分你的钱,13
27,54.5,56.833,2.333,14,你还没进门就开始分财产这叫现,13
28,56.833,63.833,7.0,42,实房子车先写我名工资卡也得交给我孩子以后康复上学请保姆这些钱都不能影响我的生活质量如,"13,14,15"
29,63.833,65.083,1.25,8,果她真的一辈子坐,15
