镜号,开始,结束,时长,字数,台词,句号
1,0.0,1.833,1.833,10,哎呦有没有人啊扶我一,1
2,1.833,3.25,1.417,8,把啊顾董您慢点别,"1,2"
3,3.25,5.667,2.417,15,真摔着别出来今天来面试的人都从,"2,3"
4,5.667,11.167,5.5,34,这后门进我就看看他们见到一个摔倒的老人是扶一把还是踩一脚哎呦年轻人帮,"3,4"
5,11.167,15.667,4.5,28,帮忙我从轮椅上摔下来了你干什么呢年轻人我轮椅翻了能不能扶,"4,5"
6,15.667,18.667,3.0,18,我一把我今天来面试主管岗你别当我前途,"5,6"
7,18.667,20,1.333,8,帮我叫一下保安也,6
8,20,21.25,1.25,8,行你这种老人我见,"6,7"
9,21.25,22.333,1.083,7,多了我要是因为,7
10,22.333,23.5,1.167,7,你错过面试你赔,7
11,23.5,25.167,1.667,10,得起吗顾董第一个还要,"7,8"
12,25.167,26.667,1.5,9,让他进面试吗不用了,"8,9"
13,26.667,33.917,7.25,45,怕丹泽可以理解但连一句求助都不愿意听完这样的人进了公司也只会踩着别人往上爬这什么味儿啊姑娘,"9,10,11,12"
14,33.917,36.5,2.583,17,能不能扶我一下我从轮椅上摔下来了穿,12
15,36.5,38.5,2.0,14,成这样怎么混到后门来的我腿不,"12,13"
16,38.5,41.583,3.083,20,方便轮椅划了一下麻烦你搭把手搭把手我今天,"13,14"
17,41.583,42.333,0.75,5,是来面试行,14
18,42.333,43.917,1.584,11,政经理的我早上没吃饭有,14
19,43.917,46.667,2.75,18,点头晕你帮我叫一下保安也行你饿关我什,"14,15"
20,46.667,52.167,5.5,36,么事儿公司不是救助还有公司连后门都管不好姑娘说话不用这么难听我已经够客气,"15,16"
21,52.167,52.833,0.666,4,了赶紧保,16
22,52.833,53.5,0.667,5,安把你弄走,16
23,53.5,54.833,1.333,9,别影响面试心情古董,"16,17"
24,54.833,56.25,1.417,9,第二个也不用进了吧,17
25,56.25,57.833,1.583,10,今天的面试已经结束一,17
26,57.833,60.333,2.5,15,半了啊大爷您怎么摔地上了轮椅滑,"17,18,19"
27,60.333,61.75,1.417,9,了锅起不来您先别挤,19
28,61.75,64.25,2.5,15,有没有摔到头手能动吗头没事儿就,"19,20"
29,64.25,64.917,0.667,4,是没力气,20
30,64.917,66.667,1.75,11,您手上都是灰早上吃饭了,"20,21"
31,66.667,67.667,1.0,6,吗没顾上吃饿,"21,22"
32,67.667,68.583,0.916,6,的有点发晕那,22
33,68.583,70.25,1.667,10,可不行老人家最怕饿着,22
34,70.25,71.833,1.583,10,我带了中午饭您先吃几,23
35,71.833,73.667,1.834,11,口垫垫这不是你的午饭吗,23
36,73.667,75.667,2.0,12,我吃了你怎么办我家离这边,"24,25"
37,75.667,78.75,3.083,19,远中午回不去外面吃多了又不健康所以才自,25
38,78.75,79.917,1.167,7,己带饭这是红烧,"25,26"
39,79.917,81.833,1.916,12,排骨对我早上用电饭锅做的,"26,27"
40,81.833,86.583,4.75,29,您别嫌弃先吃点热乎的嗯这排骨软烂颜色也红亮你自己做的是我自,"27,28,29"
41,86.583,90.75,4.167,25,己做的但真不是我厨艺多厉害是这个爆汁红烧酱料太省事,29
42,90.75,94.667,3.917,24,排骨焯水后放电饭锅倒一包酱料加半碗水按煮饭键就行,30
43,94.667,96.917,2.25,14,电饭锅能做成这样确实不简单你,"31,32"
44,96.917,98.5,1.583,9,不怕扶我耽误面试面,32
45,98.5,101.5,3.0,18,试迟到可以解释人摔在地上没人管出事就,"32,33"
46,101.5,109.583,8.083,50,来不及了大爷你要是不舒服别一个人在后门待着我进去帮您找人好姑娘你先进去今天这个主管岗我势在必得这种大,"33,34,35"
47,109.583,111.417,1.834,11,公司最需要我这种懂形象,35
48,111.417,112.667,1.25,8,管理的人不好意思,"35,36"
49,112.667,115.833,3.166,20,我刚才在后门扶累摔倒的大爷所以耽误了几分,36
50,115.833,117.833,2.0,13,钟来面试还多管闲事难怪迟到,36
51,117.833,121.083,3.25,20,老人摔倒了不先确认情况难道看着他躺在地上,36
52,121.083,121.833,0.75,2,吗他,"36,37"
53,121.833,123,1.167,8,怎么进来了各位这,"37,38"
54,123,123.75,0.75,5,位是故氏食,38
55,123.75,125.75,2.0,13,品集团董事长顾怀山顾董董事,38
56,125.75,127.75,2.0,12,长顾董我刚才不知道是你不,38
57,127.75,129.167,1.417,10,知道我是董事长嫌我影,38
58,129.167,130.333,1.166,7,响公司形象我不,38
59,130.333,131.583,1.25,8,是故意的顾董我平,"38,39"
60,131.583,135.583,4.0,26,时不是这样的人我只是今天敢面试太紧张了一个人最真实的,"39,40"
61,135.583,139.667,4.084,27,样子往往就在没人知道他身份的时候二位今天的面试到此结束,"40,41"
