镜号,开始,结束,时长,字数,台词,句号
1,0.0,1.583,1.583,8,你妈走那会儿我就,1
2,1.583,2.75,1.167,5,讲过你就是,1
3,2.75,4.667,1.917,9,个拖累往后别再说你,1
4,4.667,6.417,1.75,8,是我儿子我无处可,1
5,6.417,8.167,1.75,9,去了嗯那是你自己的,"1,2"
6,8.167,9.583,1.416,6,事爸爸不要我,2
7,9.583,12.333,2.75,13,了妈妈也不要我亲戚电话都不,2
8,12.333,14.167,1.834,9,接我明天能去哪儿没,"2,3"
9,14.167,16.25,2.083,8,人知道也没人在乎,3
10,16.25,19,2.75,11,你怎么蹲在这儿额头怎么,3
11,19,20.333,1.333,6,破了先进来我,"3,4"
12,20.333,24.583,4.25,9,给你擦擦疼不疼不疼,4
13,24.583,26.417,1.834,4,忍一下马,4
14,26.417,27.5,1.083,3,上就好,4
15,27.5,28.667,1.167,3,做红烧,4
16,28.667,30.083,1.416,7,肉就得用这个酱,4
17,30.083,32.75,2.667,13,炖的烂烂的配米饭最香你先坐,"4,5"
18,32.75,36,3.25,16,着等一会儿吃吧肉炖的很烂了汤汁拌,"5,6"
19,36,38.917,2.917,13,饭特别香叔这肉真好吃好吃就,"6,7"
20,38.917,40.167,1.25,7,多吃点叔我能留,"7,8"
21,40.167,43.917,3.75,21,在这儿给你帮工吗洗碗切菜擦灶台什么活都行行,"8,9"
22,43.917,46.417,2.5,13,那你就留下来帮我我天天给你,9
23,46.417,48.167,1.75,10,饭吃老赵这孩子是哪家,"9,10"
24,48.167,49.833,1.666,9,的没地方去的先跟着,"10,11"
25,49.833,53.667,3.834,21,我他蹲在后门口大半夜的怪可怜的看见了就不能,"11,12"
26,53.667,54.583,0.916,5,不管刀要拿,12
27,54.583,56.75,2.167,12,稳当心别切着手多练练就熟,12
28,56.75,57.917,1.167,7,了这包酱是咱店,"12,13"
29,57.917,60.833,2.916,17,里的招牌红烧肉红烧排骨红烧鱼放这个,13
30,60.833,63.167,2.334,14,就不用再加别的调料了说这样真,13
31,63.167,66.333,3.166,18,香红烧肉靠就是这包酱以后你学会了自己,"13,14"
32,66.333,67.333,1.0,3,也能做,14
33,67.333,69.083,1.75,9,去哪里小周你这手艺,"14,15"
34,69.083,71.083,2.0,12,都快赶上你叔了还差得远呢,15
35,71.083,75,3.917,22,我输的厨艺才是最好的叔我想到外面闯一闯出去闯,"16,17"
36,75,76.583,1.583,9,吧酱带上想加的时候,17
37,76.583,79,2.417,14,就炖个肉跟你叔做的一个味儿出,17
38,79,82.167,3.167,18,息了就来接我先把你自个儿安顿好别惦记,17
39,82.167,82.917,0.75,4,我周哥今,"17,18"
40,82.917,85.917,3.0,17,天这锅红烧肉比昨天还香客人都在夸多,18
41,85.917,89.583,3.666,21,亏这包红烧酱炖肉特别香我用了十年了比什么配,"18,19"
42,89.583,95.583,6.0,36,方都可靠难怪卖的这么好客人吃完还要打包一份带走你去跟后福说明天多备两锅这,"19,20"
43,95.583,96.5,0.917,5,味道不能断,20
44,96.5,100.333,3.833,23,周哥今晚的红烧肉又卖完了好明天多备两锅这味道是,"21,22,23"
45,100.333,103.667,3.334,20,当年一位师傅教我的我得把它做好周总明天供,"23,24"
46,103.667,107,3.333,20,应商那边要续见合同了这批酱料品质很稳你看,24
47,107,111.167,4.167,25,要继续拿货吗切这个酱我用了十年了品质从来没掉过炖肉,"24,25"
48,111.167,114.5,3.333,19,烧排骨烧鱼都稳得很你让供应商那边备足用,"25,26"
49,114.5,120.667,6.167,28,量好那我通知仓库多备一批帮我把时间空出来这周末我要回一趟,"26,27,28"
50,120.667,123.25,2.583,14,老家老家有事儿回去看我师傅叔,"28,29"
51,123.25,125.25,2.0,11,还有红烧肉吗啊小周长高,"29,30"
52,125.25,128.833,3.583,19,了也壮实了不像当年瘦的跟竹竿似的叔我回,"30,31"
53,128.833,131.333,2.5,14,来看你了回来就好今天你回来露,"31,32"
54,131.333,133.167,1.834,9,一手我看看你手艺有,32
55,133.167,136.167,3.0,17,没有进步好的叔我在城里开了家餐馆专,"32,33"
56,136.167,139.417,3.25,17,做红烧肉用的还是您当年给我炖肉的那,33
57,139.417,143.333,3.916,21,包酱生意也不错我今天回来也想让您尝尝我的手,"33,34"
58,143.333,147.583,4.25,24,艺叔您当年就在这口锅里用这包酱给我做了第一碗红烧,"34,35"
59,147.583,148.833,1.25,8,肉现在我的店一直,35
60,148.833,151.25,2.417,13,用的就是同一款酱客人吃了都,35
61,151.25,152.417,1.167,6,夸好叔您尝尝,"35,36"
62,152.417,154.917,2.5,15,跟当年教我的做法一样用的也是您,36
63,154.917,158.417,3.5,20,给的那包酱肉炖的烂酱味也吃进去了这味道你,36
64,158.417,161.583,3.166,18,稳住了不错有长进说我店里的红烧肉客人,"36,37"
65,161.583,166.833,5.25,30,点都说好但我一直记得第一碗肉是您在这灶台上给我做的今天您尝过,"37,38"
66,166.833,170.417,3.584,21,了味道也对得上您一个人守着这个灶台守了十年,38
67,170.417,172.75,2.333,15,也该换个地方了跟我走吧叔当年您,"38,39"
68,172.75,175.583,2.833,19,给的那碗红烧肉救了我的命现在我把这店开,"39,40"
69,175.583,179.667,4.084,28,起来靠的就是您教我这包酱我店里一直用的就是它朋友们别再拿,"40,41"
70,179.667,181.5,1.833,12,老一套方法做红烧排骨了每,41
71,181.5,187.667,6.167,43,天下班回家累的骨头都快散架一想到要在闷热的厨房里切葱姜蒜忍着热气炒糖色瞬间就想点外卖了,"41,42"
72,187.667,189.75,2.083,14,对不对今天我要彻底颠覆你的做,"42,43"
73,189.75,196.833,7.083,48,饭体验只要你家里有个电饭锅这道饭店级别的红烧排骨闭着眼睛都能做成家里那些落了灰的八角桂皮酱油老抽,"43,44"
74,196.833,200.167,3.334,23,统统靠边寨排骨冷水下锅焯一下捞出来用温水洗净然,44
75,200.167,205.333,5.166,31,后直接倒进电饭锅里再倒入这个红烧酱完事儿接下来你就可以彻底离开,"44,45"
76,205.333,207.417,2.084,13,厨房了不用吸油烟不用叮火后,45
77,207.417,212.833,5.416,32,你去舒舒服服洗个澡刷两集聚就这么简单等听到电饭煲叮一声就可以出锅,"45,46"
78,212.833,216.5,3.667,23,了不加一滴老醋照样弘亮于人您看排骨吸满了浓郁的,"46,47"
79,216.5,218.75,2.25,13,酱汁筷子一戳直接脱骨这红烧,"47,48"
80,218.75,222.667,3.917,24,酱炖出来的肉软烂入味确实很香我用了大半辈子了我叔,"48,49"
81,222.667,226.083,3.416,20,说的都是实在话关键是做完只用洗一个店内奶,49
82,226.083,232.333,6.25,38,这比食堂大锅炖出来的还香它配料表干干净净家里老人小孩嘴馋想吃点红烧口味的也能,"49,50"
83,232.333,238.667,6.334,36,放心吃拿它做红烧肉红烧鱼红烧排骨炖牛羊肉一包全部搞定真正的万能调料平时去,"50,51"
84,238.667,241.083,2.416,15,超市买这么一包少说也要七八块今,"51,52"
85,241.083,243.167,2.084,17,天在我们这里直接把底价打穿9.9块,52
86,243.167,248.833,5.666,33,直接到手五包并且给你包邮到家核算下来一块多钱就能解决一顿大餐的调味,"52,53"
87,248.833,251.333,2.5,16,说当年您给的那碗红烧肉我记了十年,54
88,251.333,255.167,3.834,24,现在这包酱能让更多人不用熬着油烟也能吃上一口好饭,54
89,255.167,258.75,3.583,23,那就够了现货库存马上见底赶紧点击左下角头像进橱,"54,55"
90,258.75,261.167,2.417,15,窗抢一单说我刚才说的事儿您再考,"55,56"
91,261.167,267.25,6.083,36,虑考虑我那店不缺掌勺的缺一个能教我帮我调教人的您去了不用干活就在后厨坐镇,"56,57"
92,267.25,272.917,5.667,29,就行我一个人守着这个灶台守了十年你走了之后我也没带过别人就,57
93,272.917,276.333,3.416,18,剩我自己了那您当年把我从后门口接进来,"57,58"
94,276.333,277.917,1.584,8,现在就换我接您走,58
95,277.917,282.417,4.5,24,那这灶台谁管灶台不动电不关我找人替您守着您只管跟,59
96,282.417,286.5,4.083,21,我走那你那店灶台利索不利索火头旺排人也顺顺,"59,60"
97,286.5,289.333,2.833,15,那我去了给你盯几天盯多久都行别,60
98,289.333,291.167,1.834,8,让我闲着就成大家,"60,61"
99,291.167,295.7,4.533,24,的支持我一直记在心里很感谢叔叔阿姨们的陪伴与鼓励,61
