镜号,开始,结束,时长,字数,台词,句号
1,0.0,2.167,2.167,9,看样子穿越成恶兽了,1
2,2.167,4.583,2.416,9,那么就让我成为最大,1
3,4.583,6.417,1.834,8,的反派吧话说我长,"1,2"
4,6.417,7.75,1.333,5,啥样来着孽,"2,3"
5,7.75,9,1.25,5,也畜嗯拿命,3
6,9,10.667,1.667,6,来我穿越者我,3
7,10.667,11.667,1.0,4,怕你这一,3
8,11.667,14.583,2.916,12,手应该可以炼制上好的法宝,3
9,14.583,15.25,0.667,0,,
10,15.25,16.333,1.083,0,,
11,16.333,17,0.667,0,,
12,17,20.583,3.583,0,,
13,20.583,22.333,1.75,2,君子,4
14,22.333,23.167,0.834,2,报仇,4
15,23.167,24.917,1.75,5,十年不晚草,4
16,24.917,26.75,1.833,4,哪里有草,4
17,26.75,29.5,2.75,1,吃,4
18,29.5,31.5,2.0,0,,
19,31.5,32.583,1.083,0,,
20,32.583,35.417,2.834,3,How,5
21,35.417,36.833,1.416,0,,
22,36.833,38.833,2.0,7,我长得不可怕吗,5
23,38.833,41.167,2.334,8,你长得很和蔼像我,6
24,41.167,44.167,3.0,2,妈妈,6
25,44.167,45.917,1.75,0,,
26,45.917,48.583,2.666,5,不好还有预,7
27,48.583,49.667,1.084,2,报又,7
28,49.667,61.833,12.166,15,活到头了吗爸妈小兰我好想你我们,"7,8,9"
29,61.833,64.417,2.584,8,两个不合适我家主,9
30,64.417,65.167,0.75,2,人已,9
31,65.167,68,2.833,8,经给我安排相亲了,9
32,68,69.5,1.5,4,系统开启,10
33,69.5,71.333,1.833,6,叫你不要说话,10
34,71.333,74.167,2.834,9,了野牛二级真有系统,"10,11"
35,74.167,76.25,2.083,8,异兽死亡后残留的,12
36,76.25,79.75,3.5,13,魔石可用于系统置换道具应该,12
37,79.75,82.833,3.083,12,是刚刚和修士打起来的那只,12
38,82.833,86.667,3.834,12,有系统我将成为最大的反派,12
39,86.667,92.333,5.666,19,将手放到果石上开始吸收吸收完成5万魔力,13
40,92.333,93.667,1.334,4,值五万魔,13
41,93.667,98.75,5.083,11,力值先买个手枪和大炮吧,13
42,98.75,100.417,1.667,0,,
43,100.417,102.5,2.083,1,你,14
44,102.5,103.833,1.333,5,这玩意儿有,14
45,103.833,109.667,5.834,18,什么用差点被那异兽炸死真是天不枉我我,"14,15"
46,109.667,113.583,3.916,7,的吹风机大炮呢,15
47,113.583,115.583,2.0,3,看样子,16
48,115.583,118.25,2.667,6,这也没啥用唉,16
49,118.25,119.333,1.083,0,,
50,119.333,123.417,4.084,0,,
51,123.417,124.667,1.25,0,,
52,124.667,126,1.333,0,,
53,126,127.083,1.083,0,,
54,127.083,128.75,1.667,0,,
55,128.75,130.167,1.417,0,,
56,130.167,131.667,1.5,4,60级雷,17
57,131.667,137.667,6.0,24,箭你没有魔力无法使用可在人族拍卖场换取魔石修饰的,17
58,137.667,139.917,2.25,11,裤衩没什么卵用先去拍卖,17
59,139.917,141.333,1.416,7,场看看顺便了解,17
60,141.333,142.167,0.834,3,一下世,17
61,142.167,144.667,2.5,9,界观你把裤衩穿头上,"17,18"
62,144.667,146.25,1.583,7,干嘛算了你知道,"18,19"
63,146.25,148.5,2.25,8,附近最近的拍卖场,19
64,148.5,151.167,2.667,11,往哪儿走吗往东走一天就,"19,20"
65,151.167,152.917,1.75,7,到了你爱吃草吗,"20,21"
66,152.917,155.333,2.416,9,我不爱吃草爱吃牛肉,22
67,155.333,157.667,2.334,10,哇哦我家主人也爱吃牛,23
68,157.667,159,1.333,5,肉他说她天,23
69,159,163.3,4.3,16,天在放牛但我和我妈妈谁也没见过牛,23
