镜号,开始,结束,时长,字数,台词,句号
1,0.0,0.5,0.5,2,走吧,1
2,0.5,3.833,3.333,18,老王再不走早高峰堵死了来了来了小优地,"1,2"
3,3.833,7,3.167,17,拖完了把我和你爸的衬衫也洗了吧宁可,2
4,7,8.167,1.167,6,记得用手好好,2
5,8.167,10.417,2.25,12,搓一搓好的阿姨爸等一下爸,"2,3,4"
6,10.417,11.5,1.083,8,今天是我18岁生,4
7,11.5,15.083,3.583,17,日我什么礼物都不要就想吃小时候咱们,4
8,15.083,19,3.917,21,总去的老巷子饭店吃一口曹阿姨做的红烧肉哎呀,"4,5"
9,19,19.75,0.75,4,18岁爸,5
10,19.75,21.583,1.833,10,给忘了爸身上就这点零,5
11,21.583,23.917,2.334,12,钱你先拿着我跟你莫姨有急,5
12,23.917,25,1.083,6,事晚些回家老,"5,6"
13,25,26.167,1.167,6,王你干什么谁,"6,7"
14,26.167,27.167,1.0,5,允许你给他,7
15,27.167,29,1.833,12,钱的好婆好今天闺女成人礼,"7,8"
16,29,30.667,1.667,11,孩子就馋那一口红烧肉什,8
17,30.667,34,3.333,22,么成人礼不成人礼的跑那么远去吃一碗红烧肉门都,8
18,34,34.667,0.667,3,没有小,"8,9"
19,34.667,37.417,2.75,12,右你默默阿姨可能今天心情,9
20,37.417,38.917,1.5,7,不好等爸发了工,9
21,38.917,40.083,1.166,5,资一定带你,9
22,40.083,43.083,3.0,13,去老巷子吃个够草莓口味她应,"9,10"
23,43.083,43.833,0.75,3,该喜欢,10
24,43.833,47.083,3.25,7,吧喂妈妈今天是,"10,11"
25,47.083,54.417,7.334,32,我生日你能带我出去吃顿曹阿姨烧的红烧肉吗让你爸带你去我爸他去陪阿,"11,12"
26,54.417,68.417,14.0,62,姨了她给了我50块钱也被阿姨抢走了我就说这个陌陌不是好东西哼闺女啊我和你叔叔现在要去旅游呢我们要出门了就这样吧挂了哈生日快乐,"12,13,14"
27,68.417,69.5,1.083,0,,
28,69.5,70.417,0.917,0,,
29,70.417,72.5,2.083,3,曹阿姨,15
30,72.5,74.5,2.0,11,冒昧打扰今天孩子18岁,15
31,74.5,76.167,1.667,10,她就想吃您做的红烧肉,15
32,76.167,79.083,2.916,16,我想跟您学这道菜亲手给他做一份求,15
33,79.083,81.833,2.75,16,您成全姑娘我这是秘制配方概不外传,"15,16"
34,81.833,84.25,2.417,14,曹阿姨我提前准备好了算是学费,17
35,84.25,85.5,1.25,7,不是钱的事儿规,17
36,85.5,87.083,1.583,9,矩就是规矩曹阿姨我,"17,18"
37,87.083,88.333,1.25,7,嫁进这个家一来,18
38,88.333,91.167,2.834,16,我知道她心里有堵墙可我是真心想对,18
39,91.167,95.583,4.416,25,她好今天她成年了我就想亲手做一顿她记忆里的味道哪怕,"18,19"
40,95.583,96.667,1.084,7,她只肯吃一口我,19
41,96.667,99.333,2.666,15,也心满意足了罢了你既不是开饭店,"19,20"
42,99.333,102.75,3.417,19,的就是个当妈的苦心签了她我教你这做法你,"20,21"
43,102.75,105,2.25,9,绝不能告诉第二个人,21
44,105,106.75,1.75,0,,
45,106.75,107.667,0.917,2,丫头,22
46,107.667,110,2.333,9,你看这肉一定要选这,22
47,110,111.25,1.25,5,种五花三层,22
48,111.25,112.583,1.333,5,的冷水下锅,22
49,112.583,114,1.417,5,加料酒焯透,22
50,114,115.083,1.083,4,撇净浮沫,22
51,115.083,116.75,1.667,6,捞出晾干炒好,22
52,116.75,118.333,1.583,6,不需要加一滴,22
53,118.333,119.583,1.25,5,油不用炒糖,22
54,119.583,120.667,1.084,4,色也不用,22
55,120.667,122.917,2.25,9,放任何酱油盐或者香,22
56,122.917,124.333,1.416,5,料就这一包,"22,23"
57,124.333,125.5,1.167,3,酱加水,23
58,125.5,126.917,1.417,6,没过肉按下煮,23
59,126.917,129.5,2.583,12,饭键即没油烟一小时准成就,23
60,129.5,130.75,1.25,6,这么简单电饭,23
61,130.75,133.667,2.917,13,锅一键搞定零厨艺也能做大厨,23
62,133.667,135.417,1.75,8,就这一包酱能行吗,24
63,135.417,138.917,3.5,16,我用了好几年了回头客络绎不绝你就,25
64,138.917,140.333,1.416,4,等着吃吧,25
65,140.333,141.917,1.584,0,,
66,141.917,143,1.083,0,,
67,143,145.417,2.417,13,哇塞这肉Q弹入口肥而不腻瘦,26
68,145.417,148.167,2.75,16,而不柴我的天用电饭锅做出来的竟然,"26,27"
69,148.167,151.167,3.0,17,这么好吃曹阿姨这肉绝了难怪小优这么,"27,28"
70,151.167,154.333,3.166,18,爱吃不过这料包肯定不便宜吧我们是普通,"28,29"
71,154.333,156.083,1.75,10,家庭要是小优天天吃我,29
72,156.083,159.167,3.084,18,们也遭不住你看这里的建议零售价平时在,"29,30"
73,159.167,161.333,2.166,12,这确实要卖八块钱但我采购,30
74,161.333,162.75,1.417,8,了十多年马上中秋,30
75,162.75,165.917,3.167,18,节了有优惠力度今天在我视频左下角链接,"30,31"
76,165.917,170.917,5.0,30,下单的只要9.9块直接带走五包还没完现在下单再额外送大家两包,31
77,170.917,175.083,4.166,26,9.9块直接到手整整七包9.9块给七包合着做这一锅肉,"31,32"
78,175.083,178.083,3.0,17,调料才花了一块多钱既简单还好吃这也,32
79,178.083,180.167,2.084,12,太划当了吧不过曹阿姨您是,32
80,180.167,185.333,5.166,29,大厨手艺好能做这么香万一别人买回去做出来没这么好吃咋办完全,"32,33"
81,185.333,186.417,1.084,6,不用担心这五,"33,34"
82,186.417,187.583,1.166,7,包是买的额外送,34
83,187.583,189.917,2.334,13,的两包就是用来给大家试吃的,34
84,189.917,192.75,2.833,18,大家收到货以后先拆送的两包试吃拿家里,34
85,192.75,195.667,2.917,18,的五花肉或者排骨给孩子老人炖上试试要,"34,35"
86,195.667,198.417,2.75,16,是觉得烧出来的颜色不够洪亮或者味,35
87,198.417,200.083,1.666,11,道不合家里老人小孩的胃,35
88,200.083,203.583,3.5,21,口你直接把剩下的两包退回回家绝对不让大家花,35
89,203.583,205.167,1.584,10,一分钱冤枉钱这个好先,"35,36"
90,205.167,210.083,4.916,30,尝后买一点不吃亏所以啊平时上班忙回家做饭嫌油烟大又怕外卖不干,"36,37"
91,210.083,217.833,7.75,39,净的家人们赶紧点击视频左下角的链接买回去给全家做顿省心又干净的红烧肉吧谢谢你曹,"37,38"
92,217.833,219.833,2.0,2,阿姨,38
93,219.833,222,2.167,11,老婆你干嘛去了今天小优,"39,40"
94,222,226.333,4.333,24,生日我去订了蛋糕又去老巷子找曹阿姨学做红烧肉孩子,"40,41"
95,226.333,229.5,3.167,18,还小跑那么远不方便我想亲手给她做刚才,"41,42"
96,229.5,230.667,1.167,6,我还以为你以,42
97,230.667,235.083,4.416,25,为我真舍不得那50块小优是你女儿也是我闺女我疼她还,"42,43"
98,235.083,237.083,2.0,11,来不及呢可是你又没做过,"43,44"
99,237.083,241.75,4.667,26,能行吗曹阿姨教我用爆汁红烧酱电饭锅一键搞定零油烟零失,"44,45"
100,241.75,244.583,2.833,7,败你尝尝天啊比,45
101,244.583,247.667,3.084,16,曹阿姨店里还好吃这酱料也太神了这,45
102,247.667,248.583,0.916,5,个酱料贵不,45
103,248.583,253.583,5.0,27,9.9到手5包还送试吃两包以后咱闺女想吃这口不用跑大老,"46,47"
104,253.583,255.667,2.084,12,远我全包了太好了我现在叫,"47,48"
105,255.667,258.083,2.416,6,小优小优出来,48
106,258.083,260.667,2.584,7,一下爸去哪儿你,"48,49"
107,260.667,262.583,1.916,6,跟爸来小优生,49
108,262.583,263.833,1.25,6,日快乐这是给,49
109,263.833,264.833,1.0,4,我准备的,49
110,264.833,266.667,1.834,9,你不是想吃曹阿姨做,50
111,266.667,269.583,2.916,13,的红烧肉吗阿姨早上抢你钱是,"50,51"
112,269.583,271.5,1.917,9,不想让你坐公交跑很,51
113,271.5,274.667,3.167,15,远我特意去找曹阿姨学艺亲手给你,"51,52"
114,274.667,278.417,3.75,8,做的来尝尝阿姨怎,"52,53"
115,278.417,279.333,0.916,4,么还叫阿,53
116,279.333,280.5,1.167,4,姨呀谢谢,"53,54"
117,280.5,281.917,1.417,5,妈妈哎我的,54
118,281.917,284.083,2.166,8,好闺女真正的母爱,54
119,284.083,287.733,3.65,12,都藏在这一餐一饭的温度里,54
